ref,context,premise,example,judgment,comment,index
aka-modal-evid1,epi-nec-1,na,aka-modal-1,felicitous,,1
aka-modal-evid1b,epi-nec-1,na,aka-modal-1b,infelicitous,,2
aka-modal-evid2,epi-nec-2,na,aka-modal-2,felicitous,,3
aka-modal-evid2b,epi-nec-2,na,aka-modal-2b,felicitous,,4
aka-modal-evid2c,epi-nec-2,na,aka-modal-2c,ungrammatical,,5
aka-modal-evid3,epi-nec-3,na,aka-modal-3,felicitous,,6
aka-modal-evid3b,epi-nec-3,na,aka-modal-3b,felicitous,,7
aka-modal-evid5,epi-wn-1,na,aka-modal-5,felicitous,,8
aka-modal-evid5b,epi-wn-1,na,aka-modal-5b,felicitous,,9
aka-modal-evid6,epi-wn-2,na,aka-modal-6,felicitous,,10
aka-modal-evid6b,epi-wn-2,na,aka-modal-6b,felicitous,,11
aka-modal-evid9,epi-pos-2,na,aka-modal-9,felicitous,,12
aka-modal-evid9b,epi-pos-2,na,aka-modal-9b,felicitous,,13
aka-modal-evid9c,epi-pos-2,na,aka-modal-9c,felicitous,,14
aka-modal-evid9d,epi-pos-2,na,aka-modal-9d,felicitous,,15
aka-modal-evid9e,epi-pos-2,na,aka-modal-9e,infelicitous,,16
aka-modal-evid9f,epi-pos-2,na,aka-modal-9f,felicitous,,17
aka-modal-evid9g,epi-pos-2,na,aka-modal-9g,felicitous,,18
aka-modal-evid7p,epi-nnec-1,na,aka-modal-7p,felicitous,,19
aka-modal-evid7pb,epi-nnec-1,na,aka-modal-7pb,felicitous,,20
aka-modal-evid1p,epi-imp-1,na,aka-modal-1p,felicitous,,21
aka-modal-evid3p,epi-imp-2,na,aka-modal-3p,felicitous,,22
aka-modal-evid3pb,epi-imp-2,na,aka-modal-3pb,ungrammatical,,23
aka-modal-evid3pc,epi-imp-2,na,aka-modal-3pc,felicitous,,24
aka-modal-evid12,deo-nec-1,na,aka-modal-12,felicitous,,25
aka-modal-evid12b,deo-nec-1,na,aka-modal-12b,felicitous,,26
aka-modal-evid12c,deo-nec-1,na,aka-modal-12c,felicitous,,27
aka-modal-evid12d,deo-nec-1,na,aka-modal-12d,ungrammatical,,28
aka-modal-evid13,deo-nec-2,na,aka-modal-13,felicitous,,29
aka-modal-evid13b,deo-nec-2,na,aka-modal-13b,felicitous,,30
aka-modal-evid16,deo-wn-1,na,aka-modal-16,felicitous,,31
aka-modal-evid16b,deo-wn-1,na,aka-modal-16b,felicitous,,32
aka-modal-evid20,deo-pos-2,na,aka-modal-20,felicitous,,33
aka-modal-evid20b,deo-pos-2,na,aka-modal-20b,ungrammatical,,34
aka-modal-evid23,deo-pos-5,na,aka-modal-23,felicitous,,35
aka-modal-evid23b,deo-pos-5,na,aka-modal-23b,felicitous,,36
aka-modal-evid16p,deo-nnec-1,na,aka-modal-16p,felicitous,,37
aka-modal-evid16pb,deo-nnec-1,na,aka-modal-16pb,felicitous,,38
aka-modal-evid16pc,deo-nnec-1,na,aka-modal-16pc,infelicitous,,39
aka-modal-evid16pd,deo-nnec-1,na,aka-modal-16pd,felicitous,,40
aka-modal-evid12p,deo-imp-1,na,aka-modal-12p,felicitous,,41
aka-modal-evid12pb,deo-imp-1,na,aka-modal-12pb,felicitous,,42
aka-modal-evid12pc,deo-imp-1,na,aka-modal-12pc,felicitous,,43
aka-modal-evid24,tel-nec-1,na,aka-modal-24,felicitous,,44
aka-modal-evid24b,tel-nec-1,na,aka-modal-24b,infelicitous,,45
aka-modal-evid24c,tel-nec-1,na,aka-modal-24c,ungrammatical,,46
aka-modal-evid25,tel-nec-2,na,aka-modal-25,felicitous,,47
aka-modal-evid25b,tel-nec-2,na,aka-modal-25b,felicitous,,48
aka-modal-evid27,tel-wn-1,na,aka-modal-27,felicitous,preferred,49
aka-modal-evid27b,tel-wn-1,na,aka-modal-27b,infelicitous,,50
aka-modal-evid30,tel-pos-1,na,aka-modal-30,felicitous,,51
aka-modal-evid27p,tel-nnec-1,na,aka-modal-27p,infelicitous,,52
aka-modal-evid27pb,tel-nnec-1,na,aka-modal-27pb,felicitous,,53
aka-modal-evid24p,tel-imp-1,na,aka-modal-24p,felicitous,,54
aka-modal-evid24pb,tel-imp-1,na,aka-modal-24pb,felicitous,,55
aka-modal-evid24pc,tel-imp-1,na,aka-modal-24pc,felicitous,,56
aka-modal-evid34,cir-nec-2,na,aka-modal-34,felicitous,,57
aka-modal-evid35,cir-nec-3,na,aka-modal-34b,felicitous,,58
aka-modal-evid35a,cir-nec-3,na,aka-modal-34c,felicitous,preferred,59
aka-modal-evid36,cir-pos-1,na,aka-modal-35,felicitous,,60
aka-modal-evid37,cir-pos-2,na,aka-modal-35a,felicitous,,61
aka-modal-evid37b,cir-pos-2,na,aka-modal-36,felicitous,,62
aka-modal-evid40,cir-pos-5,na,aka-modal-37,felicitous,,63
aka-modal-evid44,cir-nnec-1,na,aka-modal-37b,felicitous,,64
aka-modal-evid44b,cir-nnec-1,na,aka-modal-40,ungrammatical,,65
aka-modal-evid44c,cir-nnec-1,na,aka-modal-44,ungrammatical,,66
aka-modal-evid35p,cir-imp-2,na,aka-modal-35p,felicitous,,67
aka-modal-evid41,bou-nec-1,na,aka-modal-41,felicitous,,68
aka-modal-evid41b,bou-nec-1,na,aka-modal-41b,felicitous,,69
aka-modal-evid41c,bou-nec-1,na,aka-modal-41c,felicitous,,70
