ref,context,premise,example,judgment,index,comment
hau-modal-evid1,epi-nec-1,na,hau-modal-1,felicitous,1,preferred
hau-modal-evid1b,epi-nec-1,na,hau-modal-1b,felicitous,2,
hau-modal-evid2,epi-nec-2,na,hau-modal-2,felicitous,3,
hau-modal-evid3,epi-nec-3,na,hau-modal-3,felicitous,4,
hau-modal-evid4,epi-nec-4,na,hau-modal-4,felicitous,5,
hau-modal-evid5,epi-wn-1,na,hau-modal-5,felicitous,6,
hau-modal-evid5b,epi-wn-1,na,hau-modal-5b,felicitous,7,
hau-modal-evid6,epi-wn-2,na,hau-modal-6,felicitous,8,
hau-modal-evid6b,epi-wn-2,na,hau-modal-6b,felicitous,9,
hau-modal-evid7,epi-wn-3,na,hau-modal-7,felicitous,10,
hau-modal-evid7b,epi-wn-3,na,hau-modal-7b,felicitous,11,
hau-modal-evid8,epi-pos-1,na,hau-modal-8,felicitous,12,
hau-modal-evid9,epi-pos-2,na,hau-modal-9,felicitous,13,
hau-modal-evid10,epi-pos-3,na,hau-modal-10,felicitous,14,
hau-modal-evid11,epi-pos-4,na,hau-modal-11,felicitous,15,
hau-modal-evid12,epi-nnec-1,na,hau-modal-12,felicitous,16,
hau-modal-evid12b,epi-nnec-1,na,hau-modal-12b,felicitous,17,
hau-modal-evid12c,epi-nnec-1,na,hau-modal-12c,felicitous,18,
hau-modal-evid13,epi-imp-1,na,hau-modal-13,felicitous,19,
hau-modal-evid14,epi-imp-2,na,hau-modal-14,felicitous,20,
hau-modal-evid14b,epi-imp-2,na,hau-modal-14b,felicitous,21,
hau-modal-evid15,deo-nec-1,na,hau-modal-15,felicitous,22,
hau-modal-evid16,deo-nec-2,na,hau-modal-16,felicitous,23,
hau-modal-evid17,deo-wn-1,na,hau-modal-17,felicitous,24,
hau-modal-evid18,deo-wn-2,na,hau-modal-18,felicitous,25,
hau-modal-evid19,deo-wn-3,na,hau-modal-19,felicitous,26,
hau-modal-evid20,deo-pos-1,na,hau-modal-20,felicitous,27,
hau-modal-evid21,deo-pos-2,na,hau-modal-21,felicitous,28,
hau-modal-evid22,deo-pos-3,na,hau-modal-22,felicitous,29,
hau-modal-evid22b,deo-pos-3,na,hau-modal-22b,felicitous,30,
hau-modal-evid23,deo-pos-4,na,hau-modal-23,felicitous,31,
hau-modal-evid24,deo-pos-5,na,hau-modal-24,felicitous,32,
hau-modal-evid25,deo-nnec-1,na,hau-modal-25,felicitous,33,
hau-modal-evid25b,deo-nnec-1,na,hau-modal-25b,felicitous,34,
hau-modal-evid25c,deo-nnec-1,na,hau-modal-25c,felicitous,35,
hau-modal-evid26,deo-nnec-2,na,hau-modal-26,felicitous,36,
hau-modal-evid26b,deo-nnec-2,na,hau-modal-26b,felicitous,37,
hau-modal-evid26c,deo-nnec-2,na,hau-modal-26c,felicitous,38,
hau-modal-evid27,deo-imp-1,na,hau-modal-27,felicitous,39,
hau-modal-evid28,deo-imp-2,na,hau-modal-28,felicitous,40,
hau-modal-evid29,tel-nec-1,na,hau-modal-29,felicitous,41,
hau-modal-evid30,tel-nec-2,na,hau-modal-30,felicitous,42,
hau-modal-evid30b,tel-nec-2,na,hau-modal-30b,felicitous,43,
hau-modal-evid31,tel-nec-3,na,hau-modal-31,felicitous,44,
hau-modal-evid31b,tel-nec-3,na,hau-modal-31b,felicitous,45,
hau-modal-evid32,tel-wn-1,na,hau-modal-32,felicitous,46,
hau-modal-evid32b,tel-wn-1,na,hau-modal-32b,infelicitous,47,
hau-modal-evid32c,tel-wn-1,na,hau-modal-32c,infelicitous,48,
hau-modal-evid33,tel-wn-2,na,hau-modal-33,felicitous,49,
hau-modal-evid34,tel-wn-3,na,hau-modal-34,felicitous,50,
hau-modal-evid35,tel-pos-1,na,hau-modal-35,felicitous,51,
hau-modal-evid36,tel-pos-2,na,hau-modal-36,felicitous,52,
hau-modal-evid37,tel-pos-3,na,hau-modal-37,felicitous,53,
hau-modal-evid38,tel-nnec-1,na,hau-modal-38,felicitous,54,
hau-modal-evid38b,tel-nnec-1,na,hau-modal-38b,felicitous,55,
hau-modal-evid38c,tel-nnec-1,na,hau-modal-38c,felicitous,56,
hau-modal-evid39,tel-imp-1,na,hau-modal-39,felicitous,57,
hau-modal-evid40,tel-imp-2,na,hau-modal-40,felicitous,58,
hau-modal-evid41,cir-nec-1,na,hau-modal-41,felicitous,59,preferred
hau-modal-evid41b,cir-nec-1,na,hau-modal-41b,felicitous,60,
hau-modal-evid41c,cir-nec-1,na,hau-modal-41c,felicitous,61,
hau-modal-evid42,cir-nec-2,na,hau-modal-42,felicitous,62,
hau-modal-evid43,cir-nec-3,na,hau-modal-43,felicitous,63,
hau-modal-evid44,cir-pos-1,na,hau-modal-44,felicitous,64,
hau-modal-evid45,cir-pos-2,na,hau-modal-45,felicitous,65,
hau-modal-evid46,cir-pos-3,na,hau-modal-46,felicitous,66,
hau-modal-evid46b,cir-pos-3,na,hau-modal-46b,felicitous,67,
hau-modal-evid47,cir-pos-4,na,hau-modal-47,felicitous,68,
hau-modal-evid47b,cir-pos-4,na,hau-modal-47b,felicitous,69,
hau-modal-evid48,cir-pos-5,na,hau-modal-48,felicitous,70,
hau-modal-evid48b,cir-pos-5,na,hau-modal-48b,felicitous,71,
hau-modal-evid49,cir-nnec-1,na,hau-modal-49,felicitous,72,
hau-modal-evid50,cir-imp-3,na,hau-modal-50,felicitous,73,
hau-modal-evid51,cir-imp-4,na,hau-modal-51,felicitous,74,
hau-modal-evid52,bou-nec-1,na,hau-modal-52,felicitous,75,
hau-modal-evid53,bou-nec-2,na,hau-modal-53,felicitous,76,
hau-modal-evid53b,bou-nec-2,na,hau-modal-53b,felicitous,77,
hau-modal-evid54,bou-nec-3,na,hau-modal-54,felicitous,78,
