index,ref,context,premise,example,judgment,comment
0,ibo-modal-evid1,epi-nec-1,na,ibo-modal-1,felicitous,
1,ibo-modal-evid1b,epi-nec-1,na,ibo-modal-1b,felicitous,
2,ibo-modal-evid2,epi-nec-2,na,ibo-modal-2,felicitous,
3,ibo-modal-evid2b,epi-nec-2,na,ibo-modal-2b,ungrammatical,
4,ibo-modal-evid2c,epi-nec-2,na,ibo-modal-2c,ungrammatical,
5,ibo-modal-evid3,epi-nec-3,na,ibo-modal-3,felicitous,
6,ibo-modal-evid3b,epi-nec-3,na,ibo-modal-3b,ungrammatical,
7,ibo-modal-evid3c,epi-nec-3,na,ibo-modal-3c,felicitous,marginal
8,ibo-modal-evid4,epi-nec-4,na,ibo-modal-4,felicitous,
9,ibo-modal-evid4b,epi-nec-4,na,ibo-modal-4b,ungrammatical,
10,ibo-modal-evid4c,epi-nec-4,na,ibo-modal-4c,felicitous,
11,ibo-modal-evid4d,epi-nec-4,na,ibo-modal-4d,ungrammatical,
12,ibo-modal-evid5,epi-wn-1,na,ibo-modal-5,felicitous,
13,ibo-modal-evid6,epi-wn-2,na,ibo-modal-6,felicitous,
14,ibo-modal-evid7,epi-wn-3,na,ibo-modal-7,felicitous,
15,ibo-modal-evid7b,epi-wn-3,na,ibo-modal-7b,infelicitous,
16,ibo-modal-evid8,epi-pos-1,na,ibo-modal-8,felicitous,
17,ibo-modal-evid9,epi-pos-2,na,ibo-modal-9,felicitous,
18,ibo-modal-evid10,epi-pos-3,na,ibo-modal-10,felicitous,
19,ibo-modal-evid11,epi-pos-4,na,ibo-modal-11,felicitous,
20,ibo-modal-evid11b,epi-pos-4,na,ibo-modal-11b,infelicitous,
21,ibo-modal-evid12,epi-nnec-1,na,ibo-modal-12,felicitous,
22,ibo-modal-evid13,epi-imp-1,na,ibo-modal-13,felicitous,
23,ibo-modal-evid14,epi-imp-2,na,ibo-modal-14,felicitous,
24,ibo-modal-evid14b,epi-imp-2,na,ibo-modal-14b,felicitous,
25,ibo-modal-evid15,deo-nec-1,na,ibo-modal-15,felicitous,
26,ibo-modal-evid16,deo-nec-2,na,ibo-modal-16,felicitous,
27,ibo-modal-evid17,deo-wn-1,na,ibo-modal-17,felicitous,
28,ibo-modal-evid17b,deo-wn-1,na,ibo-modal-17b,felicitous,
29,ibo-modal-evid18,deo-wn-2,na,ibo-modal-18,felicitous,
30,ibo-modal-evid19,deo-wn-3,na,ibo-modal-19,felicitous,
31,ibo-modal-evid19b,deo-wn-3,na,ibo-modal-19b,felicitous,
32,ibo-modal-evid20,deo-pos-1,na,ibo-modal-20,felicitous,
33,ibo-modal-evid21,deo-pos-2,na,ibo-modal-21,felicitous,
34,ibo-modal-evid22,deo-pos-3,na,ibo-modal-22,felicitous,
35,ibo-modal-evid22b,deo-pos-3,na,ibo-modal-22b,felicitous,
36,ibo-modal-evid23,deo-pos-4,na,ibo-modal-23,felicitous,
37,ibo-modal-evid24,deo-pos-5,na,ibo-modal-24,felicitous,
38,ibo-modal-evid25,deo-nnec-1,na,ibo-modal-25,felicitous,
39,ibo-modal-evid25b,deo-nnec-1,na,ibo-modal-25b,felicitous,
40,ibo-modal-evid25c,deo-nnec-1,na,ibo-modal-25c,infelicitous,
41,ibo-modal-evid25d,deo-nnec-1,na,ibo-modal-25d,ungrammatical,
42,ibo-modal-evid26,deo-nnec-2,na,ibo-modal-26,felicitous,
